2022-03-30-07-31: epoch: 1 |tot 5.314549 | hm 1.744603 | wh 16.296932 | reg 0.275595 | ltrb_amodal 9.716771 | tracking 0.692981 | time 12.383333 | 
2022-03-30-07-43: epoch: 2 |tot 3.767141 | hm 1.314316 | wh 9.207321 | reg 0.249807 | ltrb_amodal 6.233653 | tracking 0.658920 | time 12.200000 | 
2022-03-30-07-55: epoch: 3 |tot 3.230656 | hm 1.188769 | wh 6.637460 | reg 0.240178 | ltrb_amodal 4.862367 | tracking 0.651726 | time 12.183333 | 
2022-03-30-08-07: epoch: 4 |tot 2.919876 | hm 1.084996 | wh 5.372160 | reg 0.237116 | ltrb_amodal 4.095963 | tracking 0.650951 | time 12.200000 | 
2022-03-30-08-20: epoch: 5 |tot 2.721822 | hm 1.015474 | wh 4.567359 | reg 0.233966 | ltrb_amodal 3.723481 | tracking 0.643298 | time 12.233333 | 
2022-03-30-08-32: epoch: 6 |tot 2.564534 | hm 0.973344 | wh 3.900826 | reg 0.232082 | ltrb_amodal 3.286100 | tracking 0.640416 | time 12.200000 | 
2022-03-30-08-44: epoch: 7 |tot 2.470724 | hm 0.916931 | wh 3.558373 | reg 0.229558 | ltrb_amodal 3.204620 | tracking 0.647936 | time 12.200000 | 
2022-03-30-08-56: epoch: 8 |tot 2.367993 | hm 0.883844 | wh 3.156506 | reg 0.228734 | ltrb_amodal 2.945898 | tracking 0.645175 | time 12.200000 | 
2022-03-30-09-09: epoch: 9 |tot 2.299518 | hm 0.845130 | wh 2.984162 | reg 0.226449 | ltrb_amodal 2.831607 | tracking 0.646362 | time 12.200000 | 
2022-03-30-09-21: epoch: 10 |tot 2.209884 | hm 0.808607 | wh 2.750289 | reg 0.224857 | ltrb_amodal 2.632091 | tracking 0.638183 | time 12.216667 | 
2022-03-30-09-33: epoch: 11 |tot 2.173143 | hm 0.782666 | wh 2.631059 | reg 0.224365 | ltrb_amodal 2.557221 | tracking 0.647284 | time 12.200000 | 
2022-03-30-09-45: epoch: 12 |tot 2.101871 | hm 0.755500 | wh 2.521552 | reg 0.223867 | ltrb_amodal 2.456039 | tracking 0.624745 | time 12.200000 | 
2022-03-30-09-58: epoch: 13 |tot 2.110879 | hm 0.741415 | wh 2.529688 | reg 0.222192 | ltrb_amodal 2.495417 | tracking 0.644761 | time 12.200000 | 
2022-03-30-10-10: epoch: 14 |tot 2.052718 | hm 0.718484 | wh 2.426884 | reg 0.220952 | ltrb_amodal 2.380587 | tracking 0.632535 | time 12.200000 | 
2022-03-30-10-22: epoch: 15 |tot 2.045841 | hm 0.714779 | wh 2.385106 | reg 0.218584 | ltrb_amodal 2.422582 | tracking 0.631709 | time 12.216667 | 
2022-03-30-10-34: epoch: 16 |tot 2.020218 | hm 0.692459 | wh 2.329358 | reg 0.219806 | ltrb_amodal 2.347903 | tracking 0.640228 | time 12.216667 | 
2022-03-30-10-46: epoch: 17 |tot 1.966511 | hm 0.677077 | wh 2.228933 | reg 0.218885 | ltrb_amodal 2.250829 | tracking 0.622573 | time 12.200000 | 
2022-03-30-10-59: epoch: 18 |tot 2.003958 | hm 0.669182 | wh 2.319788 | reg 0.219364 | ltrb_amodal 2.374317 | tracking 0.646002 | time 12.250000 | 
2022-03-30-11-11: epoch: 19 |tot 1.926202 | hm 0.656364 | wh 2.081896 | reg 0.217359 | ltrb_amodal 2.196159 | tracking 0.624673 | time 12.200000 | 
2022-03-30-11-23: epoch: 20 |tot 1.912022 | hm 0.642089 | wh 2.077332 | reg 0.216077 | ltrb_amodal 2.207470 | tracking 0.625375 | time 12.216667 | 
