2022-04-08-11-03: epoch: 34 |tot 1.115144 | hm 0.270263 | wh 0.799300 | reg 0.167478 | ltrb_amodal 0.746502 | tracking 0.522823 | time 12.600000 | 
2022-04-08-11-16: epoch: 35 |tot 1.107219 | hm 0.270194 | wh 0.791622 | reg 0.168640 | ltrb_amodal 0.736296 | tracking 0.515594 | time 12.783333 | 
2022-04-08-11-29: epoch: 36 |tot 1.085903 | hm 0.261074 | wh 0.770735 | reg 0.165254 | ltrb_amodal 0.725085 | tracking 0.509994 | time 12.783333 | 
2022-04-08-11-42: epoch: 37 |tot 1.103870 | hm 0.266549 | wh 0.764497 | reg 0.168078 | ltrb_amodal 0.722298 | tracking 0.520563 | time 12.766667 | 
2022-04-08-11-55: epoch: 38 |tot 1.114702 | hm 0.268963 | wh 0.799909 | reg 0.167492 | ltrb_amodal 0.727109 | tracking 0.525545 | time 12.783333 | 
2022-04-08-12-07: epoch: 39 |tot 1.113454 | hm 0.268835 | wh 0.802191 | reg 0.165789 | ltrb_amodal 0.758301 | tracking 0.522781 | time 12.783333 | 
2022-04-08-12-20: epoch: 40 |tot 1.077504 | hm 0.254802 | wh 0.743328 | reg 0.163073 | ltrb_amodal 0.682291 | tracking 0.517067 | time 12.816667 | 
2022-04-08-12-33: epoch: 41 |tot 1.076614 | hm 0.254196 | wh 0.779488 | reg 0.163762 | ltrb_amodal 0.736869 | tracking 0.507021 | time 12.783333 | 
2022-04-08-12-46: epoch: 42 |tot 1.072027 | hm 0.251465 | wh 0.745913 | reg 0.162662 | ltrb_amodal 0.702736 | tracking 0.513035 | time 12.800000 | 
2022-04-08-12-59: epoch: 43 |tot 1.076914 | hm 0.252132 | wh 0.766114 | reg 0.163073 | ltrb_amodal 0.702730 | tracking 0.514824 | time 12.800000 | 
2022-04-08-13-12: epoch: 44 |tot 1.042945 | hm 0.243698 | wh 0.735979 | reg 0.160253 | ltrb_amodal 0.679863 | tracking 0.497410 | time 12.783333 | 
2022-04-08-13-24: epoch: 45 |tot 1.065509 | hm 0.251449 | wh 0.749391 | reg 0.163056 | ltrb_amodal 0.680666 | tracking 0.507998 | time 12.800000 | 
2022-04-08-13-37: epoch: 46 |tot 1.050878 | hm 0.240568 | wh 0.722044 | reg 0.160217 | ltrb_amodal 0.678611 | tracking 0.510027 | time 12.833333 | 
2022-04-08-13-50: epoch: 47 |tot 1.044745 | hm 0.242729 | wh 0.717558 | reg 0.160143 | ltrb_amodal 0.672026 | tracking 0.502914 | time 12.783333 | 
2022-04-08-14-03: epoch: 48 |tot 1.020308 | hm 0.236442 | wh 0.693403 | reg 0.159532 | ltrb_amodal 0.643399 | tracking 0.490654 | time 12.800000 | 
2022-04-08-14-16: epoch: 49 |tot 1.026697 | hm 0.235357 | wh 0.689769 | reg 0.158185 | ltrb_amodal 0.656734 | tracking 0.498504 | time 12.783333 | 
2022-04-08-14-29: epoch: 50 |tot 1.031042 | hm 0.235303 | wh 0.687804 | reg 0.158893 | ltrb_amodal 0.648106 | tracking 0.503255 | time 12.816667 | 
