2022-03-31-07-06: epoch: 54 |tot 1.570777 | hm 0.464262 | wh 1.189540 | reg 0.199037 | ltrb_amodal 1.819914 | tracking 0.606532 | time 12.716667 | 
2022-03-31-07-18: epoch: 55 |tot 1.582812 | hm 0.462757 | wh 1.200138 | reg 0.198554 | ltrb_amodal 1.866902 | tracking 0.614797 | time 12.583333 | 
2022-03-31-07-31: epoch: 56 |tot 1.554530 | hm 0.454375 | wh 1.184025 | reg 0.198211 | ltrb_amodal 1.812235 | tracking 0.602318 | time 12.600000 | 
2022-03-31-07-43: epoch: 57 |tot 1.577032 | hm 0.453689 | wh 1.199563 | reg 0.198872 | ltrb_amodal 1.847812 | tracking 0.619733 | time 12.600000 | 
2022-03-31-07-56: epoch: 58 |tot 1.547053 | hm 0.454394 | wh 1.170709 | reg 0.198970 | ltrb_amodal 1.843394 | tracking 0.592278 | time 12.633333 | 
2022-03-31-08-09: epoch: 59 |tot 1.533063 | hm 0.446723 | wh 1.147004 | reg 0.196857 | ltrb_amodal 1.733411 | tracking 0.601442 | time 12.583333 | 
2022-03-31-08-21: epoch: 60 |tot 1.564126 | hm 0.449479 | wh 1.153050 | reg 0.198793 | ltrb_amodal 1.800344 | tracking 0.620514 | time 12.583333 | 
2022-03-31-08-34: epoch: 61 |tot 1.532869 | hm 0.437283 | wh 1.109987 | reg 0.195450 | ltrb_amodal 1.777635 | tracking 0.611373 | time 12.583333 | 
2022-03-31-08-47: epoch: 62 |tot 1.528460 | hm 0.435069 | wh 1.092717 | reg 0.195331 | ltrb_amodal 1.760174 | tracking 0.612771 | time 12.600000 | 
2022-03-31-08-59: epoch: 63 |tot 1.528847 | hm 0.434466 | wh 1.103024 | reg 0.195898 | ltrb_amodal 1.782792 | tracking 0.609901 | time 12.583333 | 
2022-03-31-09-12: epoch: 64 |tot 1.498970 | hm 0.428677 | wh 1.065029 | reg 0.193872 | ltrb_amodal 1.699791 | tracking 0.599940 | time 12.583333 | 
2022-03-31-09-24: epoch: 65 |tot 1.509233 | hm 0.428026 | wh 1.077116 | reg 0.194379 | ltrb_amodal 1.723881 | tracking 0.606729 | time 12.600000 | 
2022-03-31-09-37: epoch: 66 |tot 1.517619 | hm 0.431210 | wh 1.086333 | reg 0.194914 | ltrb_amodal 1.776599 | tracking 0.605202 | time 12.633333 | 
2022-03-31-09-50: epoch: 67 |tot 1.511279 | hm 0.430094 | wh 1.064260 | reg 0.196326 | ltrb_amodal 1.708563 | tracking 0.607576 | time 12.583333 | 
2022-03-31-10-02: epoch: 68 |tot 1.500942 | hm 0.425789 | wh 1.066449 | reg 0.193960 | ltrb_amodal 1.731332 | tracking 0.601415 | time 12.600000 | 
2022-03-31-10-15: epoch: 69 |tot 1.529717 | hm 0.431557 | wh 1.088525 | reg 0.195030 | ltrb_amodal 1.779524 | tracking 0.616325 | time 12.616667 | 
2022-03-31-10-28: epoch: 70 |tot 1.502430 | hm 0.428808 | wh 1.073758 | reg 0.195755 | ltrb_amodal 1.719960 | tracking 0.598496 | time 12.600000 | 
